LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
80,Lear Corporation México,Automotriz y autopartes,Estados Unidos,"69,175.80",n.d.,n.d.,"13,254.40",n.d.,"51,900",n.d.,ndndndndndndnd,1
81,SuKarne,Agroindustria,México,"68,000.00",n.d.,n.d.,n.d.,n.d.,"16,000",n.d.,ndndndndndndnd,-5
82,Casa Ley,Comercio autoservicio,México,"67,200.00",n.d.,n.d.,n.d.,n.d.,"22,000",n.d.,ndndndndndndnd,1
83,Grupo Villacero,Siderurgia y metalurgia,México,"66,200.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-11
84,FEMSA Combustibles,Petróleo y gas,México,"65,365.00",n.d.,"2,809.00",n.d.,n.d.,"6,206",n.d.,ndndndndndndnd,1
85,DeAcero,Siderurgia y metalurgia,México,"65,000.00",n.d.,n.d.,n.d.,n.d.,"11,000",n.d.,ndndndndndndnd,-12
86,Fresnillo PLC,Minería,México,"64,088.70","4,155.20","17,336.90","107,788.80","30,612.70","7,179",5.4,ndnd912541.712.5,20
87,AXA Seguros,Seguros y fianzas,Francia,"63,739.00","3,074.00","1,255.00","109,532.00","93,360.00","4,293",19.0,92226233.351.,65
88,Grupo Proeza,Holding,México,"63,239.00",n.d.,n.d.,n.d.,n.d.,"13,974",n.d.,368221022020,-4
89,Grupo Televisa,Holding,México,"62,260.90","(8,328.40)","(2,818.90)","251,657.80","139,820.60","32,932",(7.5),ndndnd2528nd,-12
90,Farmacias del Ahorro,Comercio de medicamentos,México,"61,538.00",n.d.,n.d.,n.d.,n.d.,"25,000",n.d.,ndndndndndndnd,-3
91,Grupo México División Transportes,Logística y transporte,México,"60,643.50","11,098.80","16,856.60","130,912.40","59,131.30","11,332",15.5,ndndnd1200nd,0
92,MG Motor,Armadora,China,"60,168.00",n.d.,n.d.,n.d.,n.d.,121,n.d.,600nanana44.6,-10
93,Aeropuertos y Servicios Auxiliares,Servicios aeroportuarios,México,"60,061.10","5,981.60","55,028.50","54,056.60","27,011.40","2,500",22.1,ndndndndndndnd,18
94,Archer Daniels Midland México (ADM),Agroindustria,Estados Unidos,"58,821.00",n.d.,n.d.,n.d.,n.d.,"1,500",n.d.,ndndndndndndnd,-4
95,Volaris,Aerolíneas,México,"57,591.00","2,316.00","7,574.00","119,093.00","111,476.00","6,901",30.4,60014214.347,-7
96,Tiendas 3B,Comercio autoservicio,México,"57,439.00",n.d.,n.d.,n.d.,n.d.,"25,300",n.d.,7009222.261,23
97,Grupo Desc,Holding,México,"56,129.00","(1,338.00)","2,413.00","63,144.00","43,674.00","24,806",(6.9),ndndnd12003,64
98,Grupo Palacio de Hierro,Comercio departamental,México,"56,079.50","2,988.10","4,924.20","60,380.50","33,373.60","13,187",11.1,ndnd25253125,14
99,P&G México,Productos de consumo,Estados Unidos,"55,650.00",n.d.,n.d.,n.d.,n.d.,"7,300",n.d.,ndndndndndndnd,-2
100,Mondelēz Snacking México,Alimentos y bebidas,Estados Unidos,"55,439.00",n.d.,n.d.,n.d.,n.d.,"15,502",n.d.,1243311436.439,-6
101,Grupo Inditex México,Comercio departamental,España,"55,073.00",n.d.,n.d.,n.d.,n.d.,"6,108",n.d.,ndndndndndndnd,-2
102,Union Pacific de México,Logística y transporte,Estados Unidos,"54,990.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,3
103,Kimberly-Clark de México,Productos de consumo,México/Estados Unidos,"54,782.30","7,830.30","12,846.90","52,109.40","44,702.50","9,443",105.7,ndndnd2452010,-7
104,PACCAR México,Armadora,Estados Unidos,"53,896.00",n.d.,"4,298.00","17,562.00","7,298.00","3,565",n.d.,39513nanana16,19
105,Grupo Ángeles Servicios de Salud,Servicios de salud,México,"53,000.00",n.d.,n.d.,n.d.,n.d.,"35,000",n.d.,ndndndndndndnd,-1
106,Valeo México,Automotriz y autopartes,Francia,"51,423.50",n.d.,n.d.,n.d.,n.d.,"12,957",n.d.,ndndndndndndnd,-3
107,ArcelorMittal México,Siderurgia y metalurgia,Luxemburgo,"51,085.70",n.d.,n.d.,"32,975.70",n.d.,"6,022",n.d.,ndndndndndndnd,-21
108,Nadro,Logística y transporte,México,"49,967.00",n.d.,"1,163.00","22,252.00","19,671.00","6,638",n.d.,100012216.733,n.d.
109,Mota-Engil México,Infraestructura,Portugal,"49,663.30",n.d.,n.d.,"14,582.20",n.d.,"4,500",n.d.,ndndndndndndnd,13
110,BanBajío,Servicios financieros,México,"48,946.00","10,689.00","14,574.00","363,467.00","317,949.00","6,639",23.5,60014321.45,53
111,Grupo Condumex,Equipo eléctrico,México,"48,787.00","5,342.00","5,194.00",n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,5
112,Afirme Grupo Financiero,Servicios financieros,México,"47,999.00",871.00,"1,022.00","351,199.00","337,143.00","5,763",6.4,9333160052.,85
113,Adient México,Automotriz y autopartes,Irlanda,"47,353.10",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-3
